Categoria,Nombre,URL,Subsegmento,Pais,Idiomas,Precios,Features clave,SEO,Estado_link_26sep2026
Psicotécnicos/aptitud,Espaço Aéreo Preparatório,https://espacoaereo.com/preparatoriolinhaaerea,E,BR,PT,"R$1,284 list / R$872 upfront / 6×R$162","110h technical content, 1k+ Q, past airline exams, AI chatbot",Publisher brand,OK
Psicotécnicos/aptitud,Lift Aviation,https://liftaviation.com.br,E/F,BR,PT,R$89/month,Video courses + simulados; airline-selection blog,Blog on LATAM/Azul/GOL selection,OK
Psicotécnicos/aptitud,AeroTest Chile (adjacent),https://aerotest.cl,F,CL,ES,Not shown (/comprar-curso),"3,500+ DGAC Q; selection blog",Strong Chilean DGAC SEO,OK
Psicotécnicos/aptitud,NextPilot (adjacent),https://nextpilot.com.br,E,BR,PT,"R$2,297 combo / R$597 per module","ANAC theory, 1,800 Q, aero English",—,OK
Inglés aeronáutico ICAO,Level6Aviation,https://level6aviation.com,Online ICAO test (LTB) + prep,Estonia,"EN + 18 locales (incl. es-ES, pt-PT)",Test €169 (L4) / €199 (L4-6); sim €59; DB €29; lessons from €45,"Zoom exam, 12h results, 1,000+ Q DB, 1:1","~826 blog URLs, 19 hreflang; dominant",OK
Inglés aeronáutico ICAO,English4Aviation,https://english4aviation.eu,Online ICAO test (EASA) + prep,Switzerland,EN,Exam €159; sim €69; lessons from €80; DB from €29,"Zoom exam, 24h cert, 1:1, Q DB","~10 posts; ""ICAO ELP English Test Online""",OK
Inglés aeronáutico ICAO,ICAOSpeak,https://icaospeak.com,Online ICAO test (Austro Control LTB),UAE,EN,Exam €159; sim €59; tutoring €29/h,"Zoom examiner, 24h results",Price in meta; ~39 posts,OK
Inglés aeronáutico ICAO,ICAO4U,https://icao4u.com,Online test + course + app,Malta,"EN, PL",€199 / €239 fast; mock €59; course+exam €449,"iOS/Android app, accent library, same-day cert",~166 posts,OK
Inglés aeronáutico ICAO,CaptainPilot,https://captainpilot.com,"AI LMS, multi-exam prep",Likely Turkey (unverified),EN,$50/1mo; $100/3mo; $150/3mo; $300/6mo; AI $300/3mo; coaching $350/6wk,"AI speaking eval, 331 lessons, app, 13 exams incl. SDEA/ELPAC/TEA, interview mock",Per-exam landing pages; ~57 posts,OK
Inglés aeronáutico ICAO,Mayflower / TEA / Climb Level 4,https://aviation-english.com,Test owner + e-learning,UK,EN,CL4 $50 (5h) to $395/$545/$645 (100h),"TEA owner, b-TEA, Zoom courses, rater training","Legacy site, no blog",OK
Inglés aeronáutico ICAO,Latitude AES,https://latitude-aes.aero,B2B e-learning + test,UK,EN,Not public,"Foundation, Command, Checkpoint, virtual instructors",Long product meta; blog/news,OK
Inglés aeronáutico ICAO,Aviation English Hub,https://aviationenglishhub.com,Reseller + community,Not stated (NZ-linked founder),EN,Not public,"Latitude modules, chat hub, groups of max 4",No meta; ~1 post,OK
Inglés aeronáutico ICAO,Aviation English Asia,https://aviationenglish.com,School (classroom/online),Hong Kong,EN,Not public,"30-200 h courses, interview prep",Exact-match domain,OK
Inglés aeronáutico ICAO,RMIT UP (RELTA),https://rmit.edu.au/up/aviation-english,Test owner + e-learning,Australia,EN,Not public,"RELTA, Beyond Level 4 (80 h), RT English",University subdomain,OK
Inglés aeronáutico ICAO,Anglo-Continental,https://anglo-continental.com,In-person immersion,UK,"10 site languages incl. ES, PT",Not public,"30 lessons/wk, TEAP extra",Spanish meta on EN page (bug),OK
Inglés aeronáutico ICAO,ELPAC (Eurocontrol),https://elpac.eurocontrol.int,Test (ATC/pilots),Belgium,EN,Not public (B2B),Computer listening + live speaking; free samples,Official authority,OK
Inglés aeronáutico ICAO,Versant Aviation (Pearson),https://versanttest.com,Automated test,UK/US,EN,Not captured (blocked),Machine-scored speaking test,n/a,OK (bloquea bots)
Inglés aeronáutico ICAO,ICAO Exam Practice,https://icaoexampractice.com,Free practice site,Not stated,EN,Free,"200+ Qs, 95 audios, 22 pictures, CAP 413 trainer, sim",Page per test part; ~10 posts,OK
Inglés aeronáutico ICAO,"Speak, Fly, Pass",https://speakflypass.com,Ebook,Not stated,EN,€48.90 ebook,"25 audios, mock test",~146 blog URLs; AI-discovery sitemap,OK
Inglés aeronáutico ICAO,Going Around (app),https://apps.apple.com/us/app/going-around-icao-english/id6677053038,AI voice app,Not stated,EN,$8.99/mo; $59.99/yr; $17.99 once,"Microsoft speech AI, ATIS/readbacks, sims",3 ratings only,OK
Inglés aeronáutico ICAO,ICAO – English for Aviation (app),https://apps.apple.com/us/app/icao-english-for-aviation/id6450632454,Free SDEA app,Brazil,EN (UI ES/PT/+),Free,"ATC audios, picture description, SDEA-aligned",4 ratings,OK
Inglés aeronáutico ICAO,Preply,https://preply.com/en/courses/english/english-for-pilots-course,Tutor marketplace,US/Ukraine,Multi,From $3; aviation tutors ~$13-$32 per 50 min,"Trial lesson, subscription, ex-pilot tutors",Programmatic course pages,OK
Inglés aeronáutico ICAO,Waypoint,https://waypoint-program.com,Self-paced interactive book + instructors,LATAM (not stated),ES,Not public (discount-led),"550+ activities/70 h, 6-criteria feedback, 12 mo",~2 posts; stuffed slugs; typo in meta,OK
Inglés aeronáutico ICAO,English For Aviation (AR),https://englishforaviation.com.ar,School + OACI certification,Argentina,"ES, EN",Not public,"1/3/6-month courses, mock exams, online/in-person",hreflang es/en; no blog,OK
Inglés aeronáutico ICAO,Alas Educa,https://alaseduca.com,School (virtual campus),Argentina,ES,Not public,"24 h activities, 5 virtual classes, sims","Meta is about TCP, not English",OK
Inglés aeronáutico ICAO,Aviation English Colombia,https://aviationenglishcolombia.com,B2B school,Colombia,ES,Not public,"British pilot-instructors, TEA examiners, LAN Colombia provider",No title/meta captured; no blog,NO RESPONDE
Inglés aeronáutico ICAO,Cinetic Plus,https://cineticplus.com,Self-paced L4 course (AESA ATO),Spain,ES,€115 one-time,"Audios with accents, MCQ exercises",Product-page SEO only,OK
Inglés aeronáutico ICAO,European Flyers,https://europeanflyers.com,Flight school + ICAO centre,Spain,ES,Not public,"In-person + online ""Subida Nivel 4"", TEA",No meta,OK
Inglés aeronáutico ICAO,Ico Aviation English,https://icoaviationenglish.com,Live prep + interview prep,Brazil,"PT, EN","R$950 (10 h) to R$2,959 (40 h); interview R$1,550; mock R$100; R$29.90/mo sub","SDEA mocks, airline/cabin/mechanic interview courses",~17 posts,OK
Inglés aeronáutico ICAO,IcaoGo,https://icaogo.com,Hybrid EAD + live,Brazil,PT,"R$1,997 or 12× R$206.54","5-10 min lessons + 10 h 1:1, SDEA sims, 2 yr access","""Aprovação ICAO"" positioning",OK
Inglés aeronáutico ICAO,English4ICAO,https://english4icao.com,School + LMS,Brazil,"PT, EN","""R$185,00"" (10 h pack offer; unit unclear); rest not public","Sims included, airline interview prep, SNA partner",~189 posts; hreflang pt-br/en,OK
Inglés aeronáutico ICAO,Aviation English (BR),https://aviationenglish.com.br,Video course + tutors,Brazil,PT,Not public,"Meu Primeiro ICAO / Renovação; ""ICAO Insurance""",Bot-blocked; no meta,OK (bloquea bots)
Inglés aeronáutico ICAO,EJ Escola,https://ej.com.br,Flight school EAD,Brazil,PT,R$349,"180-day access, 10 SDEA sims",Generic title,OK
Inglés aeronáutico ICAO,Loop Aviation Brasil,https://loopaviation.com.br,Multi-pillar portal: ANAC + ICAO + psych + selections,Brazil,PT,VIP from R$49.90/mo,"Simulados, flashcards, ICAO/SDEA, psych tests, airline selections","~183 URLs, hub-and-spoke",OK
Inglés aeronáutico ICAO,Mister Colin,https://mistercolin.com,Boutique intensive,Brazil,"EN, PT, ES",Not public,"3-day 20 h Zoom VIP, 87% pass claim",Bot-blocked,OK (bloquea bots)
Ground school/ATPL y carrera,Aviationexam,https://aviationexam.com,A – QB,Czech Rep. (EU),EN,"£138.75 ex-VAT/£166.50 inc-VAT, 12 mo all-ATPL+CPL+IR (reseller Pooleys)","16k+ ECQB Qs, explanations, iOS/Android/Win/Mac offline, eTextbooks, stats","Title ""Aviationexam""; ~38-URL sitemap, no blog",OK
Ground school/ATPL y carrera,ATPL Questions (ATPLQ),https://atplquestions.com,A – QB,EU (n/v),EN,"€249/12m, €169/6m, €99/3m; subject €52/3m; PPL €55–109","22,147 ATPL Qs ""real exam"", daily updates, apps, LMS for schools",Cloudflare; news section,OK (bloquea bots)
Ground school/ATPL y carrera,Bristol Groundschool,https://bristol.gs,A – ground school,UK,EN,"ATPL(A) £2,933; IR £1,385; PPL £276","300+ h video, QB, revision courses, ATO-approved",Strong brand; FAQ content; no hreflang,OK (bloquea bots)
Ground school/ATPL y carrera,Airhead ATPL,https://airheadatpl.com,A – QB,UK (n/v),EN (GBP/EUR/USD),£18/mo (annual) – £33/mo (monthly),"50k+ ""recently seen"" Qs by date/authority",~136 blog posts incl. competitor comparisons,OK
Ground school/ATPL y carrera,ATPL Training,https://atpltraining.io,A – QB+LMS+AI,EU,EN,Free; €9.90/mo or €99.90/yr; Premium €14.90/mo or €149.90/yr,"16k Qs, LMS 13 subjects, AI tutor, readiness score, iOS app","Meta states price + ""AI tutor""; ~26 blog URLs",OK
Ground school/ATPL y carrera,LearnATPL / Avion Metrics / ATPL Pro / ATPL Tests,https://learnatpl.eu,A – QB,EU,EN,LearnATPL €99/yr; ATPL Tests free; others freemium,"15–20k Qs, mocks, analytics","New entrants, freemium SEO",OK
Ground school/ATPL y carrera,Padpilot,https://padpilot.co,A – content (B2B),UK,EN,Not public,"iPad ATPL theory, books, school reporting",Thin site,OK
Ground school/ATPL y carrera,CAE (Oxford),https://cae.com,A – ATO,Canada/UK,EN (+DE/FR hreflang),Not public,"Full-time ATPL theory, manuals, airline cadet pipeline",Huge domain authority; no meta desc,OK
Ground school/ATPL y carrera,Sheppard Air,https://sheppardair.com,A – QB + interview,US,EN,ATP $90; Airline Interview Prep $50,"FAA memorization QB, 803-Q regional interview-test gouge","Legacy site, forum word of mouth",OK
Ground school/ATPL y carrera,Gleim,https://gleimaviation.com,A – ground school,US,EN,ATP OGS $159.95/12 mo,"35 h course, practice exams, pass guarantee",No meta description,OK
Ground school/ATPL y carrera,King Schools,https://kingschools.com,A – video ground school,US,EN,ATP $299 lifetime,"18.5 h video, 1,570 Qs, offline apps",Meta leads with reviews,OK
Ground school/ATPL y carrera,Sporty's,https://sportys.com,A – courses + membership,US,EN,ATP $199.99; Pilot Training+ $60/mo or $399/yr,"ChatDPE AI oral companion, analytics, apps",Big e-commerce + blog,OK
Ground school/ATPL y carrera,Pilot Institute,https://pilotinstitute.com,A – video ground school,US,EN,PPL/IR/CPL $249 each; bundle $394,"Video courses, pass guarantee, community",~800 blog posts (SEO leader),OK
Ground school/ATPL y carrera,ASA Prepware,https://asa2fly.com,A – QB,US,EN,ATP Test Prep+Prepware $99.95 (24 mo online),"Book + software, FAA refs",Store-style,OK
Ground school/ATPL y carrera,Dauntless,https://dauntless-soft.com,A – QB apps,US,EN,$59.99–64.99 per bank; bundles $109.99–189.99; one-time,"Offline apps, lifetime updates","Legacy, no meta desc",OK
Ground school/ATPL y carrera,Cinetic Plus [ES],https://cineticplus.com,A – ATO online,Spain,ES,"ATPL(A) online €4,700","750 h, 90% online, AESA ATO-238","Targets ""curso ATPL online""",OK
Ground school/ATPL y carrera,Test ATPL Piloto Línea [ES],App Store (buscar: Test ATPL Piloto Línea),A – QB app,Spain,ES,€29.99 one-time,"AESA/EASA QB, AI explanations, offline",App-store only,sin URL directa
Ground school/ATPL y carrera,AeroTest Chile [ES][LATAM],https://aerotest.cl,A – QB + courses,Chile,ES,Not public (subscription; free tier),"3,500+ DGAC tests, 50+ courses incl. type ratings, 24/7 virtual tutor",Active blog incl. LATAM/SKY/JetSMART selection,OK
Ground school/ATPL y carrera,Piloto Brasil [PT][LATAM],https://pilotobrasil.com.br,A – QB + AI,Brazil,PT,R$199.90 promo,"22k+ Qs, Comodore AI, apps, 171k students","""Simulados ANAC com IA""",OK
Ground school/ATPL y carrera,Loop Aviation [PT][LATAM],https://loopaviation.com.br,A – QB + English + selection,Brazil,PT,Free tier; paid not captured,"ANAC simulados, ICAO-SDEA English w/ audio, LATAM/Azul/GOL selection prep",~118 blog URLs; meta targets airline selections,OK
Ground school/ATPL y carrera,Lift Aviation Plus [PT][LATAM],https://liftaviation.com.br,A – course library + selection,Brazil,PT,R$89/mo,"Course library, ICAO prep, copilot selection prep (LATAM/Azul/GOL), community",Blog on airline selections,OK
Ground school/ATPL y carrera,Espaço Aéreo [PT][LATAM],https://espacoaereo.com,A – selection prep course,Brazil,PT,"R$872 promo (list R$1,284) or 6×R$162","~100 h, 1,000+ Qs, past airline exams, AI chatbot, live sessions",pt-br hreflang,OK
Ground school/ATPL y carrera,PilotsGlobal,https://pilotsglobal.com,B – job network,n/v,EN,Free for pilots; recruiter pricing hidden,"1,200+ jobs claim, profiles, airline reviews, hiring rankings","""Pilot Jobs Worldwide""; blocks bots",OK
Ground school/ATPL y carrera,Pilot Career Center,https://pilotcareercenter.com,B – job board,n/v,EN,Not public,"Global jobs by country, employer posting",Country landing pages; blocks bots,OK (bloquea bots)
Ground school/ATPL y carrera,Airline Pilot Central,https://airlinepilotcentral.com,B – data + forums,US,EN,Free (ads),"Pay tables, 100+ airline profiles, 44.5k-user forums/gouge",Self-reported ~1M visits/mo,OK
Ground school/ATPL y carrera,FlightDeckFriend,https://flightdeckfriend.com,B – career hub + prep,UK,EN,"Interview DB £39.99; support pack £59.99; sim prep £690; MCC £6,900","Assessment guides (Ryanair, Emirates, Wizz…), interview Q bank, coaching",Big content site; some guides stale (2017–22),OK (bloquea bots)
Ground school/ATPL y carrera,Flight Deck Wingman,https://flightdeckwingman.com,B – coaching,UK,EN,Not captured,"Assessment courses, interview coaching, CV",Clear keyword meta,OK
Ground school/ATPL y carrera,AeroScout,https://aeroscout.net,B – jobs + AI,n/v,EN,Free; Pro $19.99/mo; Multi-Apply from $2.50/app,"1,100 airlines, auto-apply, hiring data, AI interview simulator","~2,280-URL programmatic sitemap",OK
Ground school/ATPL y carrera,Pilot Job Central,https://pilotjobcentral.com,B – job board,US,EN,Premium $4.79/mo,"Unlimited applications, filters",Weak meta,OK
Ground school/ATPL y carrera,Aviation Job Search,https://aviationjobsearch.com,B – job board,UK,EN (locale paths),Free for candidates,"Aviation-wide jobs, alerts, CV DB",Locale-path int'l SEO,OK (redirect)
Ground school/ATPL y carrera,JSfirm,https://jsfirm.com,B – job board,US,EN,Free for seekers,Aviation jobs (pilot/MRO),Clean title/meta,OK
Ground school/ATPL y carrera,Pilot Jobs Network,https://pilotjobsnetwork.com,B – news + jobs,Europe,EN,Free,"Recruitment news, salary scales",News-driven content,OK
Ground school/ATPL y carrera,Pilot Careers Live,https://pilotcareerslive.com,B – events/media,UK,EN,Ticket price not shown,Expos Dublin/London/Milan/Madrid (May 2027),No meta description,OK
Ground school/ATPL y carrera,Rishworth Aviation,https://rishworthaviation.com,B – recruitment agency,NZ/global,EN,B2B,Contract pilot staffing,Brand-led,OK
